,ArrivalDate,T,RA
586,4/8/2012,19.3,1
587,4/9/2012,19.4,1
588,4/10/2012,23.3,0
589,4/11/2012,22.4,1
590,4/12/2012,21.4,1
591,4/13/2012,21.9,1
592,4/14/2012,20.2,1
593,4/15/2012,21.7,1
594,4/16/2012,24.7,1
595,4/17/2012,21.1,1
596,4/18/2012,18.8,1
597,4/19/2012,21.2,1
598,4/20/2012,25.2,0
599,4/21/2012,27.4,0
600,4/22/2012,21.7,1
601,4/23/2012,24.5,1
602,4/24/2012,21.1,1
603,4/25/2012,20.9,1
604,4/26/2012,22.2,1
605,4/27/2012,20.2,1
606,4/28/2012,21.3,1
607,4/29/2012,21.8,1
608,4/30/2012,21.5,1
609,5/1/2012,22.2,1
610,5/2/2012,23.6,1
611,5/3/2012,24.1,0
612,5/4/2012,23.1,1
613,5/5/2012,26.1,0
614,5/6/2012,27.8,0
615,5/7/2012,28.3,0
616,5/8/2012,28.2,0
617,5/9/2012,29,0
618,5/10/2012,29.4,0
619,5/11/2012,29.6,0
620,5/12/2012,26.7,1
621,5/13/2012,22.8,1
622,5/14/2012,23.7,1
623,5/15/2012,22.9,1
624,5/16/2012,24.9,1
625,5/17/2012,23.1,1
626,5/18/2012,26.6,0
627,5/19/2012,29.2,0
628,5/20/2012,29.6,0
629,5/21/2012,29.6,0
630,5/22/2012,29.6,0
631,5/23/2012,23.8,1
632,5/24/2012,23.1,1
633,5/25/2012,27.7,0
634,5/26/2012,30.1,0
635,5/27/2012,31.2,0
636,5/28/2012,30.3,1
637,5/29/2012,31.9,0
638,5/30/2012,28.8,1
639,5/31/2012,30.5,0
640,6/1/2012,30.3,1
641,6/2/2012,26.7,1
642,6/3/2012,25.1,1
643,6/4/2012,25.1,1
644,6/5/2012,24.3,1
645,6/6/2012,24.5,1
646,6/7/2012,27.6,0
647,6/8/2012,29.8,0
648,6/9/2012,30.8,0
649,6/10/2012,28.2,1
650,6/11/2012,27.8,1
651,6/12/2012,27.7,1
652,6/13/2012,24.7,1
653,6/14/2012,24.9,1
654,6/15/2012,25.6,1
655,6/16/2012,28.6,1
656,6/17/2012,29.6,1
657,6/18/2012,30.6,0
658,6/19/2012,29.2,0
659,6/20/2012,29.2,1
660,6/21/2012,26.1,1
661,6/22/2012,26.7,1
662,6/23/2012,25.3,1
663,6/24/2012,24.9,1
664,6/25/2012,25,1
665,6/26/2012,24.7,1
666,6/27/2012,24.4,1
667,6/28/2012,24.8,1
668,6/29/2012,30.3,0
669,6/30/2012,32.6,0
670,7/1/2012,29.3,1
671,7/2/2012,30.3,1
672,7/3/2012,27.3,1
673,7/4/2012,26,1
674,7/5/2012,27.7,1
675,7/6/2012,29.4,0
676,7/7/2012,29.6,0
677,7/8/2012,28.8,1
678,7/9/2012,26.6,1
679,7/10/2012,27,1
680,7/11/2012,26.4,1
681,7/12/2012,25.8,1
682,7/13/2012,27.4,1
683,7/14/2012,27.7,1
684,7/15/2012,27.1,1
685,7/16/2012,26.4,1
686,7/17/2012,26.8,1
687,7/18/2012,27.1,1
688,7/19/2012,29.1,0
689,7/20/2012,31,1
690,7/21/2012,29.2,0
691,7/22/2012,26.4,1
692,7/23/2012,26,1
693,7/24/2012,25.9,1
694,7/25/2012,29.2,0
695,7/26/2012,29.8,1
696,7/27/2012,28.2,1
697,7/28/2012,28.9,1
698,7/29/2012,26.8,1
699,7/30/2012,30.3,0
700,7/31/2012,28.7,1
701,8/1/2012,26.4,1
702,8/2/2012,27.3,1
703,8/3/2012,30.4,0
704,8/4/2012,31.6,1
705,8/5/2012,29.9,1
706,8/6/2012,27.3,1
707,8/7/2012,26.9,1
708,8/8/2012,29.9,1
709,8/9/2012,32.4,1
710,8/10/2012,28.9,1
711,8/11/2012,31.8,0
712,8/12/2012,27.9,0
713,8/13/2012,30.5,1
714,8/14/2012,28.1,1
715,8/15/2012,30.8,0
716,8/16/2012,29.7,0
717,8/17/2012,31.7,1
718,8/18/2012,32,0
719,8/19/2012,28.6,1
720,8/20/2012,26.6,1
721,8/21/2012,25.9,1
722,8/22/2012,26.6,1
723,8/23/2012,27.2,1
724,8/24/2012,27.1,1
725,8/25/2012,30.2,0
726,8/26/2012,28,0
727,8/27/2012,29.8,0
728,8/28/2012,28.6,1
729,8/29/2012,29.4,1
730,8/30/2012,28,1
731,8/31/2012,26.2,1
732,9/1/2012,24.6,1
733,9/2/2012,28.1,0
734,9/3/2012,23.6,1
735,9/4/2012,27.5,0
736,9/5/2012,29.4,0
737,9/6/2012,30.1,0
738,9/7/2012,30.5,0
739,9/8/2012,31.6,0
740,9/9/2012,30.4,0
741,9/10/2012,26.3,1
742,9/11/2012,28.3,1
743,9/12/2012,23.6,1
744,9/13/2012,24.6,1
745,9/14/2012,23.8,1
746,9/15/2012,23.1,1
747,9/16/2012,23.4,1
748,9/17/2012,26.1,1
749,9/18/2012,24.8,1
750,9/19/2012,23.5,1
751,9/20/2012,25,1
752,9/21/2012,22.4,1
753,9/22/2012,23.6,1
754,9/23/2012,23.3,1
755,9/24/2012,23,1
756,9/25/2012,25.9,0
757,9/26/2012,28.2,0
758,9/27/2012,28.5,0
759,9/28/2012,28.4,0
760,9/29/2012,29.2,0
761,9/30/2012,25.7,1
762,10/1/2012,24.6,1
763,10/2/2012,23.8,1
764,10/3/2012,25.1,1
765,10/4/2012,24,1
766,10/5/2012,24.5,1
767,10/6/2012,26.5,0
768,10/7/2012,27.7,0
769,10/8/2012,28.3,0
770,10/9/2012,25.2,1
771,10/10/2012,26.9,1
772,10/11/2012,22.9,1
773,10/12/2012,24.5,0
774,10/13/2012,24.7,0
775,10/14/2012,25.3,0
776,10/15/2012,25.2,0
777,10/16/2012,25.3,0
778,10/17/2012,24.7,0
779,10/18/2012,24.6,0
780,10/19/2012,26.1,0
781,10/20/2012,24.8,0
782,10/21/2012,24.5,0
783,10/22/2012,24.7,0
784,10/23/2012,24.4,0
785,10/24/2012,24.4,0
786,10/25/2012,22.3,1
787,10/26/2012,23.4,0
788,10/27/2012,24.6,0
789,10/28/2012,23.8,0
790,10/29/2012,23.8,0
791,10/30/2012,23.6,0
792,10/31/2012,23.7,0
793,11/1/2012,22.4,0
794,11/2/2012,22.1,0
795,11/3/2012,22.2,0
796,11/4/2012,23.1,0
797,11/5/2012,22.2,0
798,11/6/2012,21.7,0
799,11/7/2012,22.1,0
800,11/8/2012,19,1
801,11/9/2012,21.1,0
802,11/10/2012,21.3,0
803,11/11/2012,20.9,0
804,11/12/2012,20.2,0
805,11/13/2012,21.1,0
806,11/14/2012,21.1,0
807,11/15/2012,20.9,0
808,11/16/2012,20.5,0
809,11/17/2012,20.6,0
810,11/18/2012,20.2,0
811,11/19/2012,21.3,0
812,11/20/2012,21.1,0
813,11/21/2012,21.3,0
814,11/22/2012,21,0
815,11/23/2012,20.8,0
816,11/24/2012,21.2,0
817,11/25/2012,20.5,1
818,11/26/2012,19.8,0
819,11/27/2012,19.2,0
820,11/28/2012,19.4,0
821,11/29/2012,19.1,0
822,11/30/2012,18.9,0
823,12/1/2012,19,0
824,12/2/2012,19.2,0
825,12/3/2012,19.2,0
826,12/4/2012,19.3,0
827,12/5/2012,20.8,0
828,12/6/2012,19.7,0
829,12/7/2012,20.2,0
830,12/8/2012,20.6,0
831,12/9/2012,19.9,1
832,12/10/2012,19.7,0
833,12/11/2012,18.5,0
834,12/12/2012,18.2,1
835,12/13/2012,15.3,1
836,12/14/2012,17.1,0
837,12/15/2012,16.1,0
838,12/16/2012,16.7,0
839,12/17/2012,16.4,0
840,12/18/2012,17.7,0
841,12/19/2012,18.2,1
842,12/20/2012,16.6,1
843,12/21/2012,16.6,0
844,12/22/2012,16.3,0
845,12/23/2012,16.7,0
846,12/24/2012,15.4,0
847,12/25/2012,15.9,0
848,12/26/2012,15.6,0
849,12/27/2012,15.8,0
850,12/28/2012,14.9,0
851,12/29/2012,15.3,0
852,12/30/2012,15.7,0
853,12/31/2012,16.4,0
854,1/1/2013,16.6,0
855,1/2/2013,16.6,0
856,1/3/2013,17.5,0
857,1/4/2013,16.1,1
858,1/5/2013,15.4,0
859,1/6/2013,15.4,0
860,1/7/2013,16.7,1
861,1/8/2013,14,1
862,1/9/2013,13.8,0
863,1/10/2013,14.1,0
864,1/11/2013,13.2,0
865,1/12/2013,14.4,0
866,1/13/2013,14.1,0
867,1/14/2013,15.4,0
868,1/15/2013,16.1,0
869,1/16/2013,16.2,0
870,1/17/2013,17.2,0
871,1/18/2013,17.1,0
872,1/19/2013,18.1,0
873,1/20/2013,18.7,0
874,1/21/2013,17.3,0
875,1/22/2013,16.7,0
876,1/23/2013,16.2,0
877,1/24/2013,16.2,0
878,1/25/2013,16.5,0
879,1/26/2013,15.7,0
880,1/27/2013,15.8,0
881,1/28/2013,16.8,0
882,1/29/2013,17.6,0
883,1/30/2013,17.3,0
884,1/31/2013,17.5,0
885,2/1/2013,19.2,0
886,2/2/2013,18.7,0
887,2/3/2013,18.4,0
888,2/4/2013,18.8,0
889,2/5/2013,18.9,0
890,2/6/2013,19,0
891,2/7/2013,19.6,0
892,2/8/2013,20,1
893,2/9/2013,21.2,0
894,2/10/2013,20.1,0
895,2/11/2013,20.3,0
896,2/12/2013,19.9,0
897,2/13/2013,20.5,1
898,2/14/2013,20.7,0
899,2/15/2013,21,0
900,2/16/2013,22.2,1
901,2/17/2013,18.8,1
902,2/18/2013,18.9,0
903,2/19/2013,19.8,0
904,2/20/2013,20.3,0
905,2/21/2013,20.8,0
906,2/22/2013,21.7,0
907,2/23/2013,22.6,0
908,2/24/2013,22.1,0
909,2/25/2013,23.5,0
910,2/26/2013,22.2,0
911,2/27/2013,23.3,0
912,2/28/2013,23.3,0
913,3/1/2013,23.2,0
914,3/2/2013,23.9,0
915,3/3/2013,24.4,0
916,3/4/2013,24.3,0
917,3/5/2013,25.4,0
918,3/6/2013,24.2,0
919,3/7/2013,22.8,0
920,3/8/2013,23.9,0
921,3/9/2013,23.3,0
922,3/10/2013,23.8,0
923,3/11/2013,22,1
924,3/12/2013,21.4,0
925,3/13/2013,24.3,0
926,3/14/2013,24.6,0
927,3/15/2013,25.6,0
928,3/16/2013,23.8,1
929,3/17/2013,25.1,1
930,3/18/2013,20.8,1
931,3/19/2013,19.5,1
932,3/20/2013,22.3,0
933,3/21/2013,23.5,1
934,3/22/2013,17.9,1
935,3/23/2013,21.9,0
936,3/24/2013,23.7,0
937,3/25/2013,21.2,1
938,3/26/2013,21.4,1
