"","ArrivalDate","MODALPRICE","arrivalquantity","T","RA"
"356",2016-08-03,13400,2,NA,NA
"357",2016-08-04,13400,1.3,NA,NA
"358",2016-08-05,13400,2.1,NA,NA
"359",2016-08-06,13400,1.4,NA,NA
"360",2016-08-08,13400,1.1,NA,NA
"361",2016-08-09,13400,2,NA,NA
"362",2016-08-10,13400,1.3,NA,NA
"363",2016-08-11,13400,2.2,NA,NA
"364",2016-08-12,13400,1.6,NA,NA
"365",2016-08-13,13400,0.8,NA,NA
"366",2016-08-14,13400,1.5,NA,NA
"367",2016-08-16,13400,1.1,NA,NA
"368",2016-08-17,13400,2.2,NA,NA
"369",2016-08-18,13400,0.7,NA,NA
"370",2016-08-19,13400,1.6,NA,NA
"371",2016-08-20,13400,2,NA,NA
"372",2016-08-22,13400,3,NA,NA
"373",2016-08-23,13400,1.3,NA,NA
"374",2016-08-24,13400,0.9,NA,NA
"375",2016-08-25,13400,1.6,NA,NA
"376",2016-08-26,13400,1.1,NA,NA
"377",2016-08-27,13400,1.9,NA,NA
"378",2016-08-29,13400,2,NA,NA
"379",2016-08-30,13400,1.2,NA,NA
"380",2016-08-31,13400,2.5,NA,NA
"381",2016-09-01,13400,1.2,NA,NA
"382",2016-09-02,13400,1.6,NA,NA
"383",2016-09-03,13400,3.1,NA,NA
"384",2016-09-05,13400,1.5,NA,NA
"385",2016-09-06,13400,1.1,NA,NA
"386",2016-09-08,13400,1.2,NA,NA
"387",2016-09-09,13400,1.5,NA,NA
"388",2016-09-10,13400,1,NA,NA
"389",2016-09-12,13400,1.3,NA,NA
"390",2016-09-13,13400,2,NA,NA
"391",2016-09-14,13400,1.1,NA,NA
"392",2016-09-15,13400,0.8,NA,NA
"393",2016-09-16,13400,1.7,NA,NA
"394",2016-09-17,13400,1.1,NA,NA
"395",2016-09-19,13400,1.2,NA,NA
"396",2016-09-20,13400,1,NA,NA
"397",2016-09-21,13400,3,NA,NA
"398",2016-09-22,13400,1.4,NA,NA
"399",2016-09-23,13400,2.1,NA,NA
"400",2016-09-24,13400,1,NA,NA
"401",2016-09-26,13400,3,NA,NA
"402",2016-09-27,13400,1.3,NA,NA
"403",2016-09-28,13400,1.7,NA,NA
"404",2016-09-30,13400,0.8,NA,NA
"405",2016-10-01,13400,1.6,NA,NA
"406",2016-10-03,13400,1.1,NA,NA
"407",2016-10-04,13400,3.4,NA,NA
"408",2016-10-05,13400,1.3,NA,NA
"409",2016-10-06,13400,0.2,NA,NA
"410",2016-10-07,13400,1.1,NA,NA
