,ArrivalDate,Price,T,RA
304,12/21/2011,6750,16.2,0
305,12/22/2011,6750,16.1,0
306,12/23/2011,6850,15.8,0
307,12/26/2011,6850,18.1,0
308,12/27/2011,6850,18.8,0
309,12/28/2011,6850,18.9,0
310,12/29/2011,6750,19.1,0
311,12/30/2011,6750,18.1,0
312,1/3/2012,6750,17.2,0
313,1/4/2012,6750,16.2,1
314,1/5/2012,6750,16.5,1
315,1/6/2012,6750,16.7,0
316,1/9/2012,6750,16.8,1
317,1/10/2012,6750,17.5,0
318,1/11/2012,6750,15.8,1
319,1/12/2012,6750,16.1,0
320,1/13/2012,6750,15,0
321,1/16/2012,6750,15.9,0
322,1/17/2012,6750,14,1
323,1/18/2012,6750,14.2,1
324,1/19/2012,6750,16.2,1
325,1/20/2012,6750,14.9,1
326,1/23/2012,6550,16,0
327,1/24/2012,6550,17,0
328,1/25/2012,6550,16.5,0
329,1/27/2012,6550,16.9,0
330,1/30/2012,6750,16.7,0
331,1/31/2012,6750,16.6,0
332,2/1/2012,6750,16.5,0
333,2/2/2012,6850,16.3,0
334,2/3/2012,6850,16.9,0
335,2/6/2012,6900,17.2,0
336,2/7/2012,6900,17.7,0
337,2/8/2012,6900,18.8,0
338,2/9/2012,6800,18.8,0
339,2/10/2012,6800,18.8,0
340,2/13/2012,6900,19.4,0
341,2/16/2012,6900,18.5,0
342,2/17/2012,6900,20,0
343,2/22/2012,6900,21.1,0
344,2/23/2012,6900,22.1,0
345,2/24/2012,6900,22.1,1
346,2/27/2012,6900,21,0
347,2/28/2012,6800,19.5,0
348,2/29/2012,6800,19.9,0
349,3/1/2012,6800,18.3,1
350,3/2/2012,6700,19.7,1
351,3/5/2012,6700,17.1,0
352,3/6/2012,6850,17.3,0
353,3/7/2012,6850,20.2,0
354,3/9/2012,6800,22.4,0
355,3/12/2012,6800,22.8,0
356,3/13/2012,6800,22.1,1
357,3/14/2012,6800,20.7,1
358,3/16/2012,6800,20.2,0
359,3/19/2012,6800,23.2,0
360,3/20/2012,6800,24.3,0
361,3/21/2012,6800,23.1,1
362,3/22/2012,6900,20.1,1
363,3/26/2012,6900,25.6,0
364,3/27/2012,6900,18.7,1
365,3/28/2012,6900,20.4,1
366,3/29/2012,6900,21,1
367,3/30/2012,6900,20.8,1
368,4/2/2012,6900,26.2,0
369,4/3/2012,6900,26.1,0
370,4/9/2012,6900,19.4,1
371,4/10/2012,6900,23.3,0
372,4/11/2012,6900,22.4,1
373,4/12/2012,6900,21.4,1
374,4/13/2012,6900,21.9,1
375,4/16/2012,6900,24.7,1
376,4/17/2012,6900,21.1,1
377,4/18/2012,6900,18.8,1
378,4/19/2012,6900,21.2,1
379,4/20/2012,6900,25.2,0
380,4/23/2012,6900,24.5,1
381,4/25/2012,6900,20.9,1
382,4/30/2012,6900,21.5,1
383,5/2/2012,6900,23.6,1
384,5/3/2012,6900,24.1,0
385,5/4/2012,6900,23.1,1
386,5/7/2012,6900,28.3,0
387,5/9/2012,6900,29,0
388,5/10/2012,6800,29.4,0
389,5/11/2012,6800,29.6,0
390,5/14/2012,6800,23.7,1
391,5/15/2012,6800,22.9,1
392,5/16/2012,6800,24.9,1
393,5/17/2012,6800,23.1,1
394,5/18/2012,6800,26.6,0
395,5/21/2012,6800,29.6,0
396,5/22/2012,6800,29.6,0
397,5/23/2012,6800,23.8,1
398,5/24/2012,6800,23.1,1
399,5/25/2012,6800,27.7,0
400,5/28/2012,6800,30.3,1
401,5/29/2012,6800,31.9,0
402,6/1/2012,6800,30.3,1
403,6/4/2012,6800,25.1,1
404,6/5/2012,6800,24.3,1
405,6/6/2012,6800,24.5,1
406,6/7/2012,6800,27.6,0
407,6/8/2012,6800,29.8,0
408,6/11/2012,6800,27.8,1
409,6/12/2012,6800,27.7,1
410,6/15/2012,6800,25.6,1
411,6/22/2012,6800,26.7,1
412,6/25/2012,6800,25,1
413,6/27/2012,6800,24.4,1
414,6/28/2012,6800,24.8,1
415,6/29/2012,6800,30.3,0
416,7/2/2012,6800,30.3,1
417,7/3/2012,6800,27.3,1
418,7/4/2012,6800,26,1
419,7/6/2012,6800,29.4,0
420,7/9/2012,7000,26.6,1
421,7/10/2012,7000,27,1
422,7/11/2012,7000,26.4,1
423,7/12/2012,7000,25.8,1
424,7/13/2012,7000,27.4,1
425,7/16/2012,7000,26.4,1
426,7/17/2012,7200,26.8,1
427,7/19/2012,7200,29.1,0
428,7/20/2012,7200,31,1
429,7/23/2012,7200,26,1
430,7/24/2012,7200,25.9,1
431,7/25/2012,7200,29.2,0
432,7/26/2012,7200,29.8,1
433,7/30/2012,7200,30.3,0
434,7/31/2012,7200,28.7,1
435,8/1/2012,7200,26.4,1
436,8/6/2012,7200,27.3,1
437,8/7/2012,7200,26.9,1
438,8/8/2012,7200,29.9,1
439,8/9/2012,7200,32.4,1
440,8/13/2012,7400,30.5,1
441,8/14/2012,7400,28.1,1
442,8/16/2012,7500,29.7,0
443,8/17/2012,7500,31.7,1
444,8/22/2012,7500,26.6,1
445,8/24/2012,7500,27.1,1
446,8/28/2012,7500,28.6,1
447,8/29/2012,7500,29.4,1
448,9/3/2012,7500,23.6,1
449,9/4/2012,7500,27.5,0
450,9/5/2012,7500,29.4,0
451,9/6/2012,7700,30.1,0
452,9/7/2012,7700,30.5,0
453,9/17/2012,7700,26.1,1
454,9/18/2012,7700,24.8,1
455,9/25/2012,7900,25.9,0
456,9/26/2012,7900,28.2,0
457,9/27/2012,7900,28.5,0
458,9/28/2012,7900,28.4,0
459,10/1/2012,7900,24.6,1
460,10/3/2012,7900,25.1,1
461,10/4/2012,7900,24,1
462,10/5/2012,7900,24.5,1
463,10/8/2012,7900,28.3,0
464,10/9/2012,7900,25.2,1
465,10/10/2012,7900,26.9,1
466,10/16/2012,7900,25.3,0
467,10/17/2012,7900,24.7,0
468,10/18/2012,7900,24.6,0
469,10/19/2012,7900,26.1,0
470,10/26/2012,7900,23.4,0
471,10/30/2012,7900,23.6,0
472,10/31/2012,7900,23.7,0
473,11/2/2012,7900,22.1,0
474,11/5/2012,7900,22.2,0
475,11/6/2012,7900,21.7,0
476,11/8/2012,7900,19,1
477,11/9/2012,7900,21.1,0
478,11/15/2012,7900,20.9,0
479,11/16/2012,7900,20.5,0
480,11/20/2012,8000,21.1,0
481,11/21/2012,8000,21.3,0
482,11/22/2012,8000,21,0
483,11/23/2012,8000,20.8,0
484,11/26/2012,7900,19.8,0
485,11/27/2012,7900,19.2,0
486,11/29/2012,7900,19.1,0
487,12/3/2012,7900,19.2,0
488,12/4/2012,7900,19.3,0
489,12/5/2012,7900,20.8,0
490,12/6/2012,7900,19.7,0
491,12/7/2012,7900,20.2,0
492,12/10/2012,7900,19.7,0
493,12/11/2012,7900,18.5,0
494,12/12/2012,7900,18.2,1
495,12/13/2012,7900,15.3,1
496,12/14/2012,7900,17.1,0
497,12/17/2012,7700,16.4,0
498,12/18/2012,7700,17.7,0
499,12/19/2012,7700,18.2,1
500,12/20/2012,7800,16.6,1
501,12/21/2012,7800,16.6,0
502,12/26/2012,7800,15.6,0
503,12/27/2012,7800,15.8,0
504,12/28/2012,7800,14.9,0
505,12/31/2012,7800,16.4,0
506,1/1/2013,7800,16.6,0
507,1/2/2013,7800,16.6,0
508,1/3/2013,7800,17.5,0
509,1/4/2013,7800,16.1,1
510,1/7/2013,7800,16.7,1
511,1/8/2013,7800,14,1
512,1/9/2013,7800,13.8,0
513,1/10/2013,7800,14.1,0
514,1/11/2013,7800,13.2,0
515,1/15/2013,7800,16.1,0
516,1/18/2013,8100,17.1,0
517,1/21/2013,8100,17.3,0
518,1/22/2013,8100,16.7,0
519,1/23/2013,8100,16.2,0
520,1/24/2013,8100,16.2,0
521,1/28/2013,8200,16.8,0
522,1/30/2013,8200,17.3,0
523,2/1/2013,8250,19.2,0
524,2/4/2013,8250,18.8,0
525,2/5/2013,8250,18.9,0
526,2/6/2013,8300,19,0
527,2/7/2013,8300,19.6,0
528,2/8/2013,8300,20,1
529,2/11/2013,8300,20.3,0
530,2/12/2013,8300,19.9,0
531,2/13/2013,8300,20.5,1
532,2/14/2013,8100,20.7,0
533,2/15/2013,8100,21,0
534,2/19/2013,8100,19.8,0
535,2/20/2013,8100,20.3,0
